Смалявіцкі раён 	Смалявічы 	Мінская вобласць 	+375 1776
Смаргонскі раён 	Смаргонь 	Гродзенская вобласць 	+375 1592
Старадарожскі раён 	Старыя Дарогі 	Мінская вобласць 	+375 1792
Стаўбцоўскі раён 	Стоўбцы 	Мінская вобласць 	+375 1717
Столінскі раён 	Столін 	Брэсцкая вобласць 	+375 1655
Светлагорскі раён 	Светлагорск 	Гомельская вобласць 	+375 2342
Свіслацкі раён 	Свіслач 	Гродзенская вобласць 	+375 1513
Талачынскі раён 	Талачын 	Віцебская вобласць 	+375 2136
Уздзенскі раён 	Узда 	Мінская вобласць 	+375 1718
Ушацкі раён 	Ушачы 	Віцебская вобласць 	+375 2158
Хойніцкі раён 	Хойнікі 	Гомельская вобласць 	+375 2346
Хоцімскі раён 	Хоцімск 	Магілёўская вобласць 	+375 2247
Чавускі раён 	Чавусы 	Магілёўская вобласць 	+375 2242
Чачэрскі раён 	Чачэрск 	Гомельская вобласць 	+375 2332
Чашніцкі раён 	Чашнікі 	Віцебская вобласць 	+375 2133
Чэрвеньскі раён 	Чэрвень 	Мінская вобласць 	+375 1714
Чэрыкаўскі раён 	Чэрыкаў 	Магілёўская вобласць 	+375 2243
Шаркоўшчынскі раён 	Шаркоўшчына 	Віцебская вобласць 	+375 2154
Шклоўскі раён 	Шклоў 	Магілёўская вобласць 	+375 2239
Шумілінскі раён 	Шуміліна 	Віцебская вобласць 	+375 2130
Шчучынскі раён 	Шчучын 	Гродзенская вобласць 	+375 1514 
