Гало в.
Гальшанская в.
Гальшанскі 1-ы з.
Гальшанскі 2-і з.
Гамарніка в.
Гандлёвы з.
Гарадзецкая в.
Гарадскі Вал в.
Гараўца в.
Гарбатава в.
Гастэлы в.
Гая в.
Гвардзейская в.
Гвардзейскі 1-ы з.
Геалагічная в.
Геалагічны з.
Геалагічны п.
Гебелева в.
Генадзя Цітовіча в.
Генерала Антонава в.
Герасіменкі в.
Германаўская 2-я в.
Германаўская в.
Германаўскі з.
Герояў 120 Дывізіі в.
Герояў Сталінграда в.
Герцэна в.
Гікалы в.
Гінтаўта в.
Глаголева 2-і з.
Глаголева 3-і з.
Глаголева в.
Глінішча п.
Глыбоцкая в.
Гогалеўская в.
Голубева в.
Горная в.
Горны з.
Гродзенская в.
Громава в.
Грушаўская в.
Грушаўскі з.
Грыбаедава в.
Грыбны з.
Грызадубавай в.
Грыцаўца в.
Грэбелькі в.
Грэкава 1-ы з.
Грэкава 2-і з.
Грэкава в.
Гурскага в.
Гурцьева в.
Гусоўскага в.
Дабрамысленскі з.
Даватара в.
Дакутовіч в.
Дакучаева в.
Дальні з.
Дамашэўская в.
Дамашэўскі з.
Дамброўская в.
Данілы Сердзіча в.
Дарашэвіча в.
Дароўская в.
Дароўскі з.
Дастаеўскага в.
Дастаеўскага з.
Даўгабродская в.
Даўгінаўскі 2-і з.
Даўгінаўскі 3-і з.
Даўгінаўскі 4-ы з.
Даўгінаўскі п.
Даўгінаўскі т.
Даўмана в.
Дача в.
Дачная в.
Дачны з.
Дачны п.
Дворышчы в.
Дзвінская в.
Дзекабрыстаў в.
Дзімітрава в.
Дзісенская в.
Дзіцячы 1-ы з.
Дзіцячы 2-і з.
Дзіцячы 3-і з.
Дзяжнёва в.
Дзям’яна Беднага в.
Дзянісаўская в.
Дзянісаўскі з.
Дзяржынскага п.
Дняпроўская в.
Дняпроўскі п.
Докшыцкая в.
Дражня в.
Дразда в.
Дразды п.
Дружбы в.
Друйская в.
Дубаўлянскі з.
Дубравінская в.
Дубравінскі з.
Дукорская в.
Дуніна-Марцінкевіча в.
Ежы Гедройца в.
Ельніцкая в.
Ельскіх в.
Енісейскі 1-ы з.
Енісейскі 2-і з.
Енісейскі п.
Ермака в.
Ермака з.
Еўфрасінні Полацкай в.
Ёдкаўская в.
Ждановіцкая в.
Жлобінская в.
Жудро в.
Жукава п.
Жукоўскага 1-ы з.
Жукоўскага 2-і з.
Жукоўскага в.
Жукоўскага п.
Жылуновіча в.
Завадская в.
Загарадны 1-ы з.
Загарадны 2-і з.
Загарадны 3-і з.
Загарадны 4-ы з.
Залатая в.
Залатая Горка в.
Залаты з.
Замкавая в.
Запарожская в.
Запарожская п.
Запарожскі 1-ы з.
Запарожскі 3-і з.
Запрудная в.
Зарачанскі з.
Зарэчная в.
Зарэчны 1-ы з.
Зарэчны 2-і з.
Зарэчны 3-і з.
Зарэчны т.
Заслаўская в.
Заслонава в.
Заснавальнікаў в.
Захарава в.
Заходняя в.
Зацань в.
Зацішша в.
Землямерная 1-я в.
Землямерная 2-я в.
Землямерны з.
Земляробчая в.
Земляробчы 1-ы з.
Земляробчы 3-і з.
Зенітны з.
Зімні 1-ы з.
Зімні 2-і з.
Зімняя в.
Змітрака Бядулі в.
Змітрака Бядулі п.
Зоі Касмадзям’янскай в.
Зорная в.
Зубачова 1-ы з.
Зубачова 2-і з.
Зубачова 3-і з.
Зубачова в.
Зыбіцкая в.
Зялёналужская в.
Івана Навуменкі в.
Івана Хруцкага в.
Івана Шамякіна в.
Іванаўская в.
Івянецкая в.
Ігара Лучанка в.
Ігната Буйніцкага в.
Ігната Буйніцкага з.
Ігната Дамейкі в.
Ігнаценкі в.
Ігуменскі т.
Іерусалімская в.
Ізмайлаўская в.
Ізмайлаўскі 1-ы з.
Ізмайлаўскі 2-і з.
Ізмайлаўскі 3-і з.
Ізмайлаўскі 4-ы з.
Ізмайлаўскі п.
Ізумрудны з.
Ілімская в.
Ільі Капіевіча в.
Ільменская в.
Ільянская в.
Індустрыяльная в.
Інжынерная в.
Інжынерны з.
Інструментальны з.
Інтэрнацыянальная в.
Іосіфа Гашкевіча в.
Іосіфа Жыновіча в.
Іркуцкая в.
Іркуцкі з.
Ірынаўская в.
Ірынаўскі з.
Іскаліева в.
Кааператыўны з.
Кабушкіна в.
Кабушкіна з.
Кавалёва в.
Кавальская в.
Казарменны з.
Казіміраўская в.
Казінца в.
Казінца п.
Казлова в.
Казлова з.
Калгасная в.
Калектарная в.
Калектыўны з.
Калектыўны п.
Калеснікава в.
Калеснікава з.
Калініна в.
Калініна з.
Калініна п.
Калінінградскі з.
Каліноўскага в.
Кальварыйская в.
Кальварыйскі п.
Кальцавая 1-я в.
Кальцавая 2-я в.
Кальцавы 1-ы п.
Кальцавы 2-і п.
Кальцова 1-ы з.
Кальцова 2-і з.
Кальцова 3-і з.
Кальцова 4-ы з.
Кальцова в.
Кальцова п.
Калядная в.
Камайская в.
Камароўскае к.
Каменнагорская в.
Камсамольская в.
Камуністычная в.
Канатны з.
Кандрата Крапівы в.
Канстанцыі Буйло в.
Капыльская в.
Капыльскі 1-ы з.
Капыльскі т.
Караленкі в.
Каралінская в.
Каралінскі п.
Караля в.
Караткевіча в.
Карбышава в.
Карвата в.
Каржа в.
Каржанеўскага в.
Каржанеўскага з.
Карзюкі в.
Карла Лібкнехта в.
Карла Маркса в.
Кароткі 1-ы з.
Кароткі 2-і з.
Кароткі 3-і з.
Карпава в.
Каруся Каганца в.
Карыцкага в.
Касманаўтаў в.
Кастрычніцкая в.
Кастрычніцкая п.
Катоўскага в.
Катоўскага п.
Кахоўская в.
Кахоўскі з.
Качынская в.
Каштанавая в.
Кедышкі в.
Кіеўская в.
Кірава в.
Кірыла і Мяфодзія в.
Кірыла Тураўскага в.
Кірэева в.
Кірэенкі в.
Кісялёва в.
Клары Цэткін в.
Клецкая в.
Клецкі п.
Клубны п.
Клумава в.
Клумава з.
Ключавая в.
Кнорына в.
Княгінінская в.
Княгінінскі з.
Кобрынская в.
Козыраўская в.
Козьма-Дзям’янаўскі с.
Корш-Сабліна в.
Крайняя в.
Крамскога в.
Крапоткіна в.
Круглы з.
Крупецкая в.
Крупскай в.
Крупцы в.
Крывіцкая в.
Крывіцкі 1-ы з.
Крывіцкі 2-і з.
Крыжоўская в.
Крыловіча 1-ы з.
Крыловіча 2-і з.
Крыловіча в.
Крынічная в.
Кубанская в.
Кузьмы Мініна в.
Кузьмы Мініна з.
Кузьмы Чорнага в.
Кузьмы Чорнага з.
Куйбышава в.
Кулібіна в.
Кульман в.
Куляшова в.
Кунцаўшчына в.
Купрыянава в.
Курганная в.
Курсанта Гвішыані в.
Кутузава в.
Кэчаўскі з.
Лабанка в.
Лагойскі т.
Лазарава в.
Лазо в.
Лазо з.
Ламаносава в.
Ламаносава з.
Ландэра в.
Лапаровіцкая в.
Ларысы Александроўскай в.
Леаніда Бяды в.
Леаніда Левіна в.
Лейтэнанта Кіжаватава в.
Леніна в.
Ленінградская в.
Лепельская в.
Лермантава в.
Лесапаркавая в.
Лесі Украінкі в.
Летні 1-ы з.
Летні 2-і з.
Летняя в.
Лібава-Роменская в.
Лівенцава в.
Лідская в.
Лізы Чайкінай в.
Лілі Карастаянавай в.
Лінейны з.
Ліпавая в.
Ліпкаўская в.
Ліпкаўскі з.
Ліпкаўскі п.
Літаратурная в.
Літаратурны з.
Ложынская в.
Лошыца 1-я в.
Лошыца 2-я в.
Лошыцкая в.
Лошыцкі з.
Лошыцкі п.
Лугавая в.
Лугавы з.
Лук’яновіча в.
Лучайская в.
Льва Сапегі в.
Льва Талстога в.
Льва Талстога з.
Любанская в.
Любімава п.
Люцынская в.
Ляўкова в.
