    горад Віцебск
    вёска Хімы, Зубрэвіцкі сельсавет
    вёска Арашкі, Клюкаўскі сельсавет
    вёска Дзевіна, Клюкаўскі сельсавет
    вёска Замасточча, Клюкаўскі сельсавет
    вёска Іванькова, Клюкаўскі сельсавет
    вёска Клюкаўка, Клюкаўскі сельсавет
    вёска Лісоўскія, Клюкаўскі сельсавет
    вёска Рамальдава, Клюкаўскі сельсавет
    вёска Сармацк, Клюкаўскі сельсавет
    вёска Сафіёўка, Клюкаўскі сельсавет
    вёска Сімахі, Клюкаўскі сельсавет
    вёска Слабада, Клюкаўскі сельсавет
    вёска Старына, Клюкаўскі сельсавет
    вёска Чарняўскія, Клюкаўскі сельсавет
    вёска Барадуліна, Крапівенскі сельсавет
    вёска Брылі, Крапівенскі сельсавет
    вёска Гацькаўшчына, Крапівенскі сельсавет
    вёска Гразіўка, Крапівенскі сельсавет
    вёска Загарадная, Крапівенскі сельсавет
    вёска Згарда, Крапівенскі сельсавет
    вёска Крапіўна, Крапівенскі сельсавет
    вёска Ларынаўка, Крапівенскі сельсавет
    вёска Пашына, Крапівенскі сельсавет
    вёска Рымкі, Крапівенскі сельсавет
    вёска Савішчына, Крапівенскі сельсавет
    вёска Стахоўка, Крапівенскі сельсавет
    вёска Сяглава, Крапівенскі сельсавет
    вёска Шатравіна, Крапівенскі сельсавет
    вёска Шугайлава, Крапівенскі сельсавет
    вёска Азярок, Межаўскі сельсавет
    вёска Аланцьева, Межаўскі сельсавет
    вёска Баякоўшчына, Межаўскі сельсавет
    вёска Глінішча, Межаўскі сельсавет
    вёска Гразіна, Межаўскі сельсавет
    вёска Дубніцы, Межаўскі сельсавет
    вёска Дубраўка, Межаўскі сельсавет
    вёска Заполле, Межаўскі сельсавет
    вёска Зарэчча, Межаўскі сельсавет
    вёска Зоськава, Межаўскі сельсавет
    вёска Івашкава, Межаўскі сельсавет
    вёска Ізмайлава, Межаўскі сельсавет
    вёска Казечкі, Межаўскі сельсавет
    вёска Казечына, Межаўскі сельсавет
    вёска Калатоўкі, Межаўскі сельсавет
    вёска Каменка, Межаўскі сельсавет
    вёска Канавалава, Межаўскі сельсавет
    вёска Кашына, Межаўскі сельсавет
    вёска Лагі, Межаўскі сельсавет
    вёска Лужкі, Межаўскі сельсавет
    станцыя Лужкі, Межаўскі сельсавет
    вёска Ляснічыя, Межаўскі сельсавет
    вёска Малотынь, Межаўскі сельсавет
    вёска Мальжонкава, Межаўскі сельсавет
    вёска Межава, Межаўскі сельсавет
    вёска Монькава, Межаўскі сельсавет
    вёска Мядзведнікі, Межаўскі сельсавет
    вёска Новае Сяло, Межаўскі сельсавет
    вёска Рубашына, Межаўскі сельсавет
    вёска Свістуны, Межаўскі сельсавет
    станцыя Смаляны, Межаўскі сельсавет
    вёска Стайкі, Межаўскі сельсавет
    вёска Стапурэва, Межаўскі сельсавет
    вёска Стаўбуны, Межаўскі сельсавет
    вёска Ферма, Межаўскі сельсавет
    вёска Чаркасова, Межаўскі сельсавет
    вёска Шэмберава, Межаўскі сельсавет
    вёска Юрцава, Межаўскі сельсавет
    вёска Антонаўка, Панізоўскі сельсавет
    вёска Бабінічы, Панізоўскі сельсавет
    вёска Звёздная, Панізоўскі сельсавет
    пасёлак Лясны, Панізоўскі сельсавет
    вёска Марозава, Панізоўскі сельсавет
    вёска Нарэйкава, Панізоўскі сельсавет
    вёска Панізоўе, Панізоўскі сельсавет
    вёска Руміна, Панізоўскі сельсавет
    вёска Свісцёлкі, Панізоўскі сельсавет
    вёска Стаўры, Панізоўскі сельсавет
    вёска Сцяпкова, Панізоўскі сельсавет
    вёска Харкаўка, Панізоўскі сельсавет
    вёска Чарное, Панізоўскі сельсавет
    вёска Чырвоная Харкаўка, Панізоўскі сельсавет
    вёска 10-ы Блок Пост, Пішчалаўскі сельсавет
    вёска Антавіль, Пішчалаўскі сельсавет
    вёска Асінаўка, Пішчалаўскі сельсавет
    вёска Багрынава, Пішчалаўскі сельсавет
    вёска Барадзіно, Пішчалаўскі сельсавет
    вёска Гадавічы, Пішчалаўскі сельсавет
    вёска Гародня, Пішчалаўскі сельсавет
    вёска Дрыбіна, Пішчалаўскі сельсавет
    вёска Еліна, Пішчалаўскі сельсавет
    вёска Корава, Пішчалаўскі сельсавет
    станцыя Мажэеўка, Пішчалаўскі сельсавет
    вёска Малыя Ліпкі, Пішчалаўскі сельсавет
    вёска Масееўка, Пішчалаўскі сельсавет
    вёска Машкова, Пішчалаўскі сельсавет
    вёска Муханава, Пішчалаўскі сельсавет
    вёска Немерава, Пішчалаўскі сельсавет
    вёска Папоўка, Пішчалаўскі сельсавет
    вёска Пішчалава, Пішчалаўскі сельсавет
    вёска Слабада, Пішчалаўскі сельсавет
    вёска Хлусава, Пішчалаўскі сельсавет
    вёска Агранамічная, Смальянскі сельсавет
    вёска Бабрамынічы, Смальянскі сельсавет
    вёска Васнева, Смальянскі сельсавет
    вёска Вязьмічы, Смальянскі сельсавет
    вёска Ганышава, Смальянскі сельсавет
    вёска Гаравыя Паршні, Смальянскі сельсавет
    вёска Жвікава, Смальянскі сельсавет
    вёска Казённыя Паршні, Смальянскі сельсавет
